line,type,context,talking,talking_to,words,episode
786,dialogue,,onyeka,women,"I would not feel comfortable stealing him for a second time right now, because I have respect for the other girl that haven't talked to him yet.",1
787,dialogue,,courtney,women,It disadvantages everybody else that is here.,1
788,testimony,,heather,aside,No one right now is happy with Catherine's aggressiveness because a lot of girls still haven't gotten their time with him yet.,1
789,dialogue,,catherine,women,Hi.,1
790,testimony,,onyeka,aside,"This is complete *bleep*, what Catherine is doing. Like, honestly, like, girl, stop with this *bleep*.",1
791,dialogue,,onyeka,catherine,"Catherine, can I steal you for a second real quick?",1
792,dialogue,,catherine,onyeka,Sure.,1
793,dialogue,,nicole,women,"Oh, my God, the drama already.",1
794,dialogue,,onyeka,catherine,"Just want to, like, get some fresh air and chat a little bit.",1
795,dialogue,,???,women,"Wait, those two are talking?",1
796,dialogue,,???,women,Do you think that they'e having a confrontation?,1
797,dialogue,,???,women,I absolutely do.,1
798,dialogue,,alexb,women,*bleep*. It's getting real.,1
